Canada Fears Photo of Prime Minister with Pandas Could Worsen American Refugee Crisis,pos
Trump Tremendously Relieved That K.K.K. Ties Did Not Hurt Him in Alabama,pos
Trump Derailed by Obama’s Endorsement,pos
Christie’s Endorsement of Trump Threatens to Overshadow Equally Prestigious Praise from David Duke,pos
Obama Signs Executive Order Relocating Congress to Guantánamo,pos
Americans Nostalgic for Republican Who Only Wanted to Screw Over Forty-Seven Per Cent of Them,pos
Iraqis Celebrate as Threat of Third Bush Presidency is Over,pos
Conspiracy Theorists Say Republican Party Did Not Die from Natural Causes,pos
G.O.P. Warns Obama Against Doing Anything for Next Three Hundred and Forty Days,pos
Rubio Abruptly Departs G.O.P. Debate After Low-Battery Warning,pos
Fiorina Cheers Self Up by Firing Campaign Staff,pos
Christie Quits Race to Focus on Tormenting Rubio,pos
Jeb Hopes to Woo Voters with Ad Featuring Worst President in U.S. History,pos
Sanders Admits Receiving Free Checking from Big Banks,pos
Shkreli Miraculously Makes Nation Side with Congress,pos
Santorum Launches 2020 Campaign,pos
Cruz Victory Gives Hope To Despised People Everywhere,pos
Fiorina Declares Victory,pos
Millions Resent Being Put in Horrible Position of Siding with Megyn Kelly,pos
"Trump’s Plan to Randomly Shoot People Lacks Details, Random Shooters Say",pos
Palin Blames Obama for Her Defeat in 2008 Election,pos
Palin Endorsement Widens Trump’s Lead Among Idiots,pos
Fact Checker at Republican Debate Hospitalized for Exhaustion,pos
Debate Watchers Disappointed That Trump and Cruz Did Not Actually Punch Each Other’s Faces,pos
Obama Celebrates Last Time He Has to Talk to These Bastards,pos
ISIS Chief Abruptly Cancels Meeting with Sean Penn,pos
Poll: Republicans Would Rather Actually Be Shot by Gun Than Agree with Obama,pos
Obama Continues to Stubbornly Link Gun Violence with Guns,pos
Cleveland Fans Apply to Relocate Browns to Los Angeles,pos
Oregon Considers Wall to Keep Out Angry White Men,pos
Trump Calls His Al Qaeda Recruitment Video Highest-Rated Terror Video Ever,pos
Lawyer for Martin Shkreli Hikes Fees Five Thousand Per Cent,pos
Chilling Video Terrifies Nation,pos
Congress Marks Third Anniversary of Doing Nothing After Newtown,pos
Study: Scalia Better Off in “Less Advanced” Court,pos
Trump Supporters Disappointed He Only Wants to Ban One Religion,pos
Obama Speech Heavily Criticized By People with No Better Ideas,pos
Fiorina: I Will Not Be Bullied Into Telling Truth,pos
Jindal Returns Seventy Dollars Raised for Presidential Campaign,pos
Carson Announces Detailed Plan to Google Syria,pos
"Trump’s Focus on Muslims Distracting Him from Campaign Against Mexicans, Supporters Fear",pos
Study: Average American Can Stand Four Seconds of Ted Cruz,pos
Carson Hopes Debate Will Focus on Lost City of Atlantis,pos
Carson: Loss of Keystone Leaves U.S. with No Place to Store Grain,pos
Carson Plummets in Polls Amid Reports He Did Not Stab Anyone,pos
Rand Paul No Longer Most Embarrassing Thing About Kentucky,pos
"New G.O.P. Debate Format Forbids Questions About Things Candidates Said, Did",pos
Billionaire Acquires Rubio Pending Physical,pos
Jeb Quits Race with “Mission Accomplished” Banner,pos
"Cruz, Carson Differ Sharply Over Timetable for End of World",pos
Clinton Thanks Benghazi Committee for Invaluable Service to Her Campaign,pos
Clinton Compiles Mental List of People to Destroy,pos
"With Webb Out of Race, Chafee Surges to Two Per Cent",pos
Benghazi Hearings Cancelled After Clinton Drops Out of Race,pos
Biden to Decide on 2016 Bid by Early 2017,pos
Strong Debate Ratings Make CNN Consider Introducing Substance into Programming,pos
"In Serious Gaffe, Sanders Treats Opponent with Dignity and Respect",pos
Ben Carson: Democrats Offered No Plan to Protect Earth from Dragons,pos
CNN Prepared to Cut Away from Debate to Whatever Trump Is Doing,pos
All Eyes on Bitter Chafee-Webb Rivalry,pos
"Kevin McCarthy Enters Rehab After Admitting Struggles with Nouns, Verbs",pos
Ben Carson: Pompeii Victims Should Have Outrun Lava,pos
George W. Bush Enjoying New Status as Smarter Bush,pos
Americans Opposed to Being Shot Seek Representation in Washington,pos
Jeb Bush Declares War on Stuff,pos
Pope Met with People Who Refuse to Do Jobs,pos
See Andy Friday Night!,pos
Kochs Hope to Be First to Pollute Water on Mars,pos
Boehner to Continue Repealing Obamacare After Leaving Congress,pos
Nation Thanks Pope for Briefly Bumping Trump from News,pos
Wisconsinites Alarmed That Walker Has More Time to Be Governor,pos
Kochs Demand Walker Return Nine Hundred Million Dollars,pos
Ben Carson Shattering Stereotype About Brain Surgeons Being Smart,pos
Poll: Guy Who Asked Trump Muslim Question Leads G.O.P. Race,pos
Walker Bummed He Was Unable to Show He Memorized Three Branches of Government,pos
Fact Checking Reveals G.O.P. Debate Was Four Per Cent Fact,pos
Millions Watch American Democracy’s Final Episode,pos
Patriots Never Bothered to Steal Jets’ Playbook,pos
Federal Judge Admits Having Brady on Fantasy Team,pos
Party That Mocked President’s Lack of Experience Favors One with No Experience Whatsoever,pos
"Cutting Losses, Kochs to Sell Scott Walker",pos
Nation with Crumbling Bridges and Roads Excited to Build Giant Wall,pos
Nation Needs Cheaper Way to Find Worst People,pos
Sentiment Building to Deport Nation’s Billionaires,pos
Twenty Thousand Considered Disappointing Turnout for Racist Event in Alabama,pos
Voters Who Favor Border Wall Cannot Identify Border on Map,pos
Republicans Defend Right to Be Born and Immediately Deported,pos
Amazon Chief Says Employees Lacking Empathy Will Be Instantly Purged,pos
Sanders Shamelessly Pandering to Voters Who Want to Hear Truth,pos
Trump: I Would Attack ISIS on Twitter,pos
"Trump Fails to Back Up Misogynist Slurs with Anti-Woman Proposals, Rivals Say",pos
Walker Emerges as Leading Candidate to Run Enterprise Rent-a-Car Branch,pos
Trump More Heinous Than Previously Thought,pos
Psychologists Urge People With Low Self-Esteem to Watch G.O.P. Debate,pos
Jindal Says He Didn’t Want to Be in Lame Debate Anyway,pos
Fox Names Top Ten Narcissists in America,pos
Nation Worried That Rest of World Might See Debate,pos
"In Bid to Take Attention from Trump, Other Fifteen Hopefuls Release Joint Sex Tape",pos
Republicans Release Debate Format,pos
Bar Officially Cannot Be Lowered,pos
Trump Plummets in Polls After Failing to Insult Kasich,pos
Trump Says He Heroically Avoided Capture in Vietnam by Staying in U.S.,pos
Obama Squandering America’s Precious Supply of Enemies,pos
Poll: Palin Would Bring Much-Needed Dignity to Republican Field,pos
Walker Assures G.O.P. Voters He Is as Horrible as Trump,pos
Supreme Court Forces G.O.P. to Seek New Bogus Issues for 2016,pos
"Republicans Fear Victory for Health Care Could Pave Way for Education, Environment",pos
"Number of G.O.P. Candidates Now Thirteen, Says C.D.C.",pos
Many in Nation Tired of Explaining Things to Idiots,pos
Trump: Pope’s Call to Save Planet Masks Even More Reckless Call to Feed Poor,pos
ISIS Confused by Trump’s Hotel Analogies,pos
Scientists Believe They Have Isolated Gene for Failure,pos
"Dellavedova Breaks Arms, Legs, Neck; Will Play Game 4",pos
LeBron Vows to Win Title After Rest of Team Disappears into Mysterious Vortex,pos
Bush Sorry Patriot Act Repealed Before He Got Chance to Read It,pos
N.S.A. Compensates for Loss of Surveillance Powers by Logging on to Facebook,pos
McCain Urges Military Strikes Against FIFA,pos
Louisiana Breaks Off Trade Relations with Ireland,pos
Biker-Brawl Suspects Only Slightly Outnumber Republican Candidates,pos
Bush Says Iraq Question Unimportant Because He Clearly Will Never Be President,pos
Scientists: Earth Endangered by New Strain of Fact-Resistant Humans,pos
Desperate Residents of Austin Completely Surrounded by Texas,pos
N.F.L. Sentences Brady to a Year with the Jets,pos
Fiorina Has High Name Recognition Among Thousands She Fired,pos
Hillary Expected to Adopt All of Sanders’s Positions by Noon,pos
